"simulacao";"alunos";"aluguel";"custo";"pessoal";"despesas";"imposto";"fluxoCaixa";"fluxoAcumulado";"ano"
1457;592242,03918994;177274,831074435;93852,9536892144;263466,245336481;31461,9805101124;30780,674810575;349955,015917992;-352984,934082008;1
1457;624810,697437472;178887,916224564;102467,303985027;294038,860139141;34611,820138831;32147,9445464815;340432,684852556;-12552,249229452;2
1457;675762,355771088;174640,328055609;112781,873798292;330382,038540209;38068,1625073807;34016,1073530679;335154,501627748;322602,252398296;3
1457;693623,87240156;176425,632353247;123716,12915939;371098,760832521;41390,6456719699;34801,9801901923;299041,988900734;621644,24129903;4
1458;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1458;600701,693863768;179099,470508097;94034,1901288501;264426,674810819;31211,9160368068;31192,0465748746;358936,336820516;-344003,613179484;1
1458;643382,801544072;177516,375320075;102318,429503995;286889,944550638;34123,3097302359;32835,9670745658;364731,526004711;20727,912825227;2
1458;680111,761317771;182173,234943413;113506,862059965;310623,750777095;37927,5973066301;34491,3998504473;365735,386267047;386463,299092273;3
1458;717979,454284728;176810,928975153;124814,973267724;347614,789814538;41163,0834758396;35791,6153303952;345405,921371384;731869,220463657;4
1459;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1459;597075,895130441;173426,605579317;95995,6078873907;268633,786755072;30798,5682120698;30820,1000283903;344254,437826835;-358685,512173165;1
1459;667378,522856462;177291,58268439;104732,279010738;292399,624103137;33612,7047573278;33786,804221634;380138,693448014;21453,1812748495;2
1459;696651,889344916;181371,327774418;115187,09515936;319041,678757129;36494,981003111;35120,9286847733;372178,533514959;393631,714789809;3
1459;777879,375877471;180099,715125483;126538,184882626;353551,377324991;40222,0443054981;38319,1636401182;399348,320849721;792980,035639529;4
1460;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1460;573449,988641106;166206,857778584;94049,9804977877;264975,555028849;31094,9887328921;29586,2738567876;319950,048303374;-382989,901696626;1
1460;593123,31268268;154214,333644448;103699,197690534;290018,004481227;34381,9001321192;29893,5058530851;289345,038170163;-93644,8635264629;2
1460;602880,101829453;150283,87833451;113614,416812762;320190,181803863;37868,008449066;30126,5592065585;251364,813891713;157719,95036525;3
1460;677549,963507166;147546,512353023;123517,121514485;354157,173205642;41123,4022764111;33003,8590344076;273294,919829243;431014,870194493;4
1461;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1461;596311,778375144;167530,932684184;92856,4856431759;260973,003504744;31225,6934737155;30553,7084423731;348233,819995319;-354706,130004681;1
1461;663955,636436077;169041,136034375;102250,842765075;289020,21621884;34373,1013192343;33319,8708988181;374032,741268485;19326,6112638038;2
1461;702459,395921158;163172,083568749;111670,654208425;319227,010717452;37934,0719728975;34625,2591795963;362174,483411536;381501,09467534;3
1461;766602,363863459;166056,345687809;121089,142546404;350426,933775395;41870,9242807166;37306,3483820507;381965,360566702;763466,455242042;4
1462;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1462;617276,79568301;176472,885296244;93337,910774013;265505,735130194;31096,1437678945;31749,9872391702;372059,904067982;-330880,045932018;1
1462;701746,336374494;179894,052115561;102680,228834844;292863,767455088;34285,4339042658;35265,6155396022;416545,342756255;85665,2968242373;2
1462;772024,424915175;179021,010206838;111697,62750608;321751,147378989;37529,1081742734;38041,8174048805;442025,734657791;527691,031482028;3
1462;846775,404340604;169932,340640881;126121,319320065;351706,244629582;40996,0200608663;40668,3097992594;457215,851171713;984906,88265374;4
1463;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1463;595091,020633036;175396,53186574;93494,9492149453;265552,524384006;31395,956547785;30819,502099951;349224,620252089;-353715,329747911;1
1463;656217,078304168;181748,45991124;102513,732103947;291785,169351548;34112,360372506;33518,6215286163;376035,65485879;22320,3251108789;2
1463;772695,17989644;177094,52427338;112371,302437642;320515,796662966;37986,9043119513;37991,5881667928;440924,112590468;463244,437701347;3
1463;839299,69316561;177128,223067922;121604,053781254;356405,233300328;41678,6131792541;40657,1166493413;456082,899323355;919327,337024702;4
1464;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1464;594505,578731357;177442,724221743;94976,8250935642;265201,369624968;31555,0827439284;30877,932118124;349337,093372515;-353602,856627485;1
1464;675242,591304298;170431,246088745;102859,070169773;292231,790826538;34753,3736315567;33826,9534957217;382002,649269454;28399,7926419689;2
1464;725316,220733795;174788,10939952;112793,11909278;321058,324144308;37912,735322765;36004,1732053326;392335,978368129;420735,771010098;3
1464;822496,182990792;178684,064381488;125680,918214828;354143,701927463;42065,8676007083;40047,2098948912;439242,549734389;859978,320744488;4
1465;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1465;579258,57091714;172409,385518203;93116,7376628255;261680,3765126;30976,4639058969;30066,7182574137;335827,660096607;-367112,289903393;1
1465;615386,054736867;170725,41856513;102602,443877826;290636,692500009;33906,2078348992;31444,4589320799;327521,670157182;-39590,6197462108;2
1465;658023,952555127;178061,684109028;113462,372556793;326012,357590626;37155,062580041;33443,4254665662;326012,418470128;286421,798723918;3
1465;755192,011265384;170815,531704851;125258,020802899;362028,810107909;40637,8592089471;37040,3017188094;361042,55113167;647464,349855587;4
1466;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1466;582124,965283746;178566,977930116;94100,0337871103;262217,199071203;30776,9460031397;30427,6777285545;343170,086623854;-359769,863376146;1
1466;638300,348562071;177551,823532152;104271,692623536;292673,597129583;33597,1890607173;32634,0868837689;352675,606396619;-7094,25697952689;2
1466;684512,021759879;171548,076634195;115598,30382877;327839,582016294;36831,6305200474;34242,403935763;341548,178093199;334453,921113672;3
1466;781590,196663178;174228,534424807;127563,770785591;360006,17332396;40097,4221288894;38232,7492435194;389918,615606026;724372,536719698;4
1467;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
